text,label,label_description,start,end,confidence,lemma
Hibernia,HIBERNIA_DECLENSION,custom noun declension,63978,63986,,Hibernia
Hibernia,HIBERNIA_DECLENSION,custom noun declension,1135905,1135913,,Hibernia
Hibernia,HIBERNIA_DECLENSION,custom noun declension,1254910,1254918,,Hibernia
Hibernia,HIBERNIA_DECLENSION,custom noun declension,1267096,1267104,,Hibernia
